Name,Coef.,Std. Error,t,Pr(>|t|),Lower 95%,Upper 95%
ENT_PAIS_TRAB: 5,-752.7888902738333,3172.331193625481,-0.2372983286822309,0.8125333527099063,-6987.211704979344,5481.633924431678
ENT_PAIS_TRAB: 6,-3224.766137407925,3821.1529785040443,-0.8439248979428191,0.3991597701020677,-10734.28574731975,4284.753472503899
ENT_PAIS_TRAB: 7,-6136.1924746624045,2445.5728984195343,-2.5091022551926194,0.01245424445643256,-10942.353793369984,-1330.0311559548254
ENT_PAIS_TRAB: 8,-4335.5613634750625,2579.8161910625877,-1.6805698710222101,0.09354044185147307,-9405.544268042522,734.4215410923962
ENT_PAIS_TRAB: 9,-995.0816441536895,2533.8142969846936,-0.3927208262017714,0.6947116454498411,-5974.659341807324,3984.496053499945
ENT_PAIS_TRAB: 10,-6117.563575451668,2896.5834896850033,-2.1119928347437136,0.03523755230160972,-11810.073307436305,-425.0538434670307
ENT_PAIS_TRAB: 11,-4888.001756947932,2498.108471641393,-1.9566811499327128,0.05100298190231218,-9797.408593316508,21.405079420642323
ENT_PAIS_TRAB: 12,-6976.451143845333,2646.535459759724,-2.6360694008908983,0.008677105617788873,-12177.5540688513,-1775.3482188393655
ENT_PAIS_TRAB: 13,-5517.868242521219,2488.003107457744,-2.2177899320067205,0.02706784468876363,-10407.415515315839,-628.3209697266002
ENT_PAIS_TRAB: 14,-4226.401111419834,2344.3838634412646,-1.802776916070392,0.07209215549382457,-8833.70071306136,380.89849022169346
ENT_PAIS_TRAB: 15,-4902.961982227321,2340.0067975006036,-2.0952768117871488,0.03670472355655612,-9501.659556496434,-304.2644079582069
ENT_PAIS_TRAB: 16,-3358.544371597299,2457.235949455358,-1.3667976705052334,0.17237118095189785,-8187.626497442834,1470.5377542482365
ENT_PAIS_TRAB: 17,-6363.279565828672,2622.459759244457,-2.4264546075101503,0.015639055617180275,-11517.067728468715,-1209.4914031886283
ENT_PAIS_TRAB: 18,-5886.926053430252,2738.630315644785,-2.1495877044084466,0.03212030803311435,-11269.01836308829,-504.8337437722148
ENT_PAIS_TRAB: 19,-3138.756029242385,2449.8961826852997,-1.2811791991128518,0.20079055614923413,-7953.413680903819,1675.901622419049
ENT_PAIS_TRAB: 20,-5813.321470059275,2353.832446459348,-2.469726117848242,0.013891670690618292,-10439.189896309326,-1187.4530438092252
ENT_PAIS_TRAB: 21,-6553.897766274155,2332.32716053797,-2.8100250587325175,0.005169744241731101,-11137.502936577155,-1970.2925959711547
ENT_PAIS_TRAB: 22,-3390.913304025381,3148.692880061755,-1.0769272943377302,0.282089738400304,-9578.880930924845,2797.0543228740826
ENT_PAIS_TRAB: 23,-10493.505270836751,3385.8496969666494,-3.099223595258166,0.002061925166270555,-17147.545252648524,-3839.4652890249763
ENT_PAIS_TRAB: 24,-5256.751644732122,2544.8608280740996,-2.065634233016321,0.03943497348542205,-10258.038533905714,-255.46475555853158
ENT_PAIS_TRAB: 25,-6362.3562821392925,2983.174273319447,-2.132747100644493,0.033486078753740045,-12225.038522630788,-499.6740416477969
ENT_PAIS_TRAB: 26,-3173.541636745052,2476.6929259704584,-1.2813625796995172,0.20072622383140531,-8040.861579163673,1693.7783056735693
ENT_PAIS_TRAB: 27,-7130.341836415062,2995.3763807935616,-2.3804493759565633,0.01770695788901118,-13017.00426452914,-1243.6794083009845
ENT_PAIS_TRAB: 28,-3592.9882872767785,2647.2914173462686,-1.3572318724466335,0.17538786408724205,-8795.576857676258,1609.6002831227015
ENT_PAIS_TRAB: 29,-6921.448279718956,2515.109805581675,-2.7519467596836065,0.0061635219575187075,-11864.266981913743,-1978.6295775241688
ENT_PAIS_TRAB: 30,-5403.6740886078405,2351.5055327218647,-2.2979635869081263,0.022021707096695754,-10024.969548415433,-782.3786288002493
